player_name,player_name_season,season,plus_minus,minutes,pat,player_minutes_category,pie_pra,mantrap,santrap,primary_team_name,example_sentence
Royce ONeale,"Royce ONeale, 2018",2018,161,1522.2,0.001468384,Starter,0.054235393,0.103040775,0.344555012,Utah Jazz,
Royce ONeale,"Royce ONeale, 2019",2019,216,2049.233333,0.051741107,Superstar,0.068501563,0.202868042,0.473263749,Utah Jazz,
Royce ONeale,"Royce ONeale, 2020",2020,440,2183.566667,0.022364816,Superstar,0.086738794,0.163921928,0.40487393,Utah Jazz,
Royce ONeale,"Royce ONeale, 2021",2021,231,2405.383333,-0.013118488,Superstar,0.07508982,0.10521368,0.326366323,Utah Jazz,
Royce ONeale,"Royce ONeale, 2022",2022,59,2128,0.010104419,Superstar,0.090720321,0.257379493,0.520282333,Brooklyn Nets,
Royce ONeale,"Royce ONeale, 2023",2023,117,1898,0.057876344,Starter,0.083705785,0.24347558,0.52737248,Brooklyn Nets,
Royce ONeale,"Royce ONeale, 2024",2024,-155,1842,-0.021337748,Starter,0.079008182,0.136848493,0.370111998,Phoenix Suns,
Semi Ojeleye,"Semi Ojeleye, 2017",2017,-185,1149.933333,-0.237127563,All,0.030439803,0.022327311,0.161538325,Boston Celtics,
Semi Ojeleye,"Semi Ojeleye, 2018",2018,43,537.8166667,-0.023897746,All,0.024193099,0.045349016,0.311163633,Boston Celtics,
Semi Ojeleye,"Semi Ojeleye, 2019",2019,-42,1034.083333,-0.162179865,Rotation,0.028532236,0.019736217,0.140486468,Boston Celtics,
Semi Ojeleye,"Semi Ojeleye, 2020",2020,6,927.0166667,-0.012317433,Rotation,0.033452372,0.071515765,0.307789801,Boston Celtics,
Semi Ojeleye,"Semi Ojeleye, 2021",2021,-144,405.7666667,-0.370750317,All,0.010491537,0.037848486,0.354738145,Milwaukee Bucks,
Emeka Okafor,"Emeka Okafor, 2017",2017,0,353.2166667,-0.061210912,All,0.013942158,0.019211618,0.158916505,New Orleans Pelicans,
Cedi Osman,"Cedi Osman, 2017",2017,40,672.2166667,0.042193603,All,0.024834348,0.026011092,0.175506269,Cleveland Cavaliers,
Cedi Osman,"Cedi Osman, 2018",2018,-606,2177.55,-0.060011378,Superstar,0.105977026,0,0.21102192,Cleveland Cavaliers,
Cedi Osman,"Cedi Osman, 2019",2019,-350,1910.283333,-0.020102837,Star,0.092950266,0.106609632,0.327654783,Cleveland Cavaliers,
Cedi Osman,"Cedi Osman, 2020",2020,-303,1462.933333,-0.042052092,Starter,0.075756471,0.127125171,0.35665157,Cleveland Cavaliers,
Cedi Osman,"Cedi Osman, 2021",2021,-37,1441.8,-0.063644562,Rotation,0.070071817,0.138570635,0.378773661,Cleveland Cavaliers,
Cedi Osman,"Cedi Osman, 2022",2022,207,1374,0.03944122,Rotation,0.064542539,0.204952991,0.496487305,Cleveland Cavaliers,
Cedi Osman,"Cedi Osman, 2023",2023,-359,1251,-0.134111614,Rotation,0.052734854,0.038132795,0.19716699,San Antonio Spurs,
Justin Patton,"Justin Patton, 2017",2017,3,3.733333333,0.916071429,All,0.00012551,0.000209968,0.156814124,Minnesota Timberwolves,
Justin Patton,"Justin Patton, 2018",2018,1,11.63333333,0.009036808,All,0.000811924,0.001158174,0.273715373,Philadelphia 76ers,
Justin Patton,"Justin Patton, 2019",2019,-16,24.23333333,-0.677988022,All,0.002747604,0.000698891,0.060937185,Oklahoma City Thunder,Justin Patton had a SANTRAP of .07.
Justin Patton,"Justin Patton, 2020",2020,-81,246.75,-0.060559144,All,0.01212066,0.029483718,0.379726265,Houston Rockets,
Rodney Purvis,"Rodney Purvis, 2017",2017,-58,289.55,-0.055702984,All,0.009169505,0.009021885,0.137568035,Orlando Magic,
Zhou Qi,"Zhou Qi, 2017",2017,-67,123.9666667,-0.693191057,All,0.003651301,0.00289036,0.101369473,Houston Rockets,
